parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
????,0.08,0.17,7.0,0.17,4.33,0.04,0.12,0.0,0.17,0.42,0.79,0.42,5.17
a_caso,0.04,0.21,5.0,0.08,3.0,0.04,0.04,0.0,0.54,0.29,0.83,0.21,4.33
a_malincuore,0.0,0.12,5.5,0.21,3.67,0.0,0.0,0.0,0.21,0.21,0.04,0.83,3.33
a_scanso_di,0.21,0.58,5.33,0.04,4.67,0.25,0.17,0.0,0.17,0.42,0.21,0.25,5.0
abbagliante,0.32,0.62,7.0,0.0,6.5,0.17,0.46,0.0,0.12,0.12,0.71,0.04,6.67
abbandonare,0.09,0.46,5.33,0.92,2.17,0.17,0.0,0.0,0.96,0.92,0.46,1.0,1.67
abbandonato,0.0,0.17,7.0,0.54,2.17,0.0,0.0,0.0,0.83,0.83,0.17,1.0,1.83
abbandono,0.02,0.0,7.17,0.25,2.83,0.04,0.0,0.0,0.71,0.67,0.0,0.96,2.5
abbassare,0.08,0.08,4.67,0.17,4.5,0.08,0.08,0.0,0.29,0.21,0.17,0.25,4.17
abbastanza,0.38,0.33,4.67,0.17,5.17,0.33,0.42,0.0,0.21,0.21,0.21,0.21,5.67
abbattere,0.04,0.21,6.67,0.54,4.17,0.04,0.04,0.0,0.62,0.88,0.12,0.71,3.5
abbattersi,0.11,0.12,4.33,0.04,2.5,0.17,0.04,0.0,0.42,0.29,0.0,0.83,1.5
abbattuto,0.11,0.08,5.5,0.38,2.5,0.17,0.04,0.0,0.42,0.54,0.25,0.96,2.33
abbellimento,0.75,0.79,4.17,0.0,5.17,0.58,0.92,0.0,0.0,0.0,0.67,0.0,7.67
abbigliamento,0.15,0.17,3.83,0.0,5.0,0.12,0.17,0.0,0.0,0.0,0.04,0.0,6.0
abbinare,0.6,0.83,5.67,0.12,6.67,0.67,0.54,0.0,0.17,0.12,0.42,0.12,6.5
abbonamento,0.42,0.38,4.83,0.12,4.17,0.54,0.29,0.0,0.17,0.67,0.17,0.21,5.33
abbonare,0.4,0.54,6.0,0.12,6.67,0.38,0.42,0.0,0.12,0.0,0.54,0.0,6.83
abbondante,0.57,0.33,4.83,0.25,5.5,0.46,0.67,0.0,0.08,0.17,0.46,0.29,6.33
abbondanza,0.52,0.75,5.33,0.08,5.83,0.21,0.83,0.0,0.08,0.08,0.58,0.08,6.5
abbordabile,0.67,0.62,5.67,0.0,6.67,0.75,0.58,0.0,0.0,0.0,0.17,0.0,7.0
abbracciare,0.81,0.29,7.33,0.12,6.17,0.75,0.88,0.0,0.17,0.08,0.67,0.5,8.67
abbraccio,0.92,0.46,6.83,0.0,7.0,0.83,1.0,0.0,0.12,0.04,0.33,0.58,7.67
abdicare,0.09,0.17,3.33,0.12,4.67,0.17,0.0,0.0,0.08,0.17,0.29,0.17,5.17
aberrante,0.0,0.0,5.67,0.83,3.67,0.0,0.0,0.0,0.58,0.38,0.17,0.29,2.5
aberrare,0.0,0.0,5.17,0.58,3.83,0.0,0.0,0.0,0.62,0.54,0.0,0.33,2.67
abietto,0.0,0.0,5.67,0.79,4.83,0.0,0.0,0.0,0.42,0.58,0.0,0.33,1.83
abiezione,0.02,0.29,5.0,0.71,4.0,0.04,0.0,0.0,0.58,0.54,0.08,0.79,2.0
abile,0.6,0.67,6.17,0.0,5.67,0.75,0.46,0.0,0.0,0.0,0.12,0.04,6.0
abilità,0.5,0.71,5.5,0.0,7.5,0.58,0.42,0.0,0.04,0.0,0.08,0.04,6.67
abisso,0.0,0.12,6.17,0.17,3.0,0.0,0.0,0.0,0.83,0.17,0.04,0.67,3.0
abitante,0.4,0.29,4.67,0.0,6.33,0.46,0.33,0.0,0.0,0.0,0.0,0.0,6.33
abitare,0.38,0.21,3.83,0.0,5.5,0.42,0.33,0.0,0.0,0.0,0.12,0.0,5.67
abitatore,0.0,0.0,5.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
abitazione,0.67,0.42,3.83,0.17,6.0,0.67,0.67,0.0,0.17,0.17,0.29,0.17,5.5
abito,0.21,0.29,5.0,0.12,4.83,0.21,0.21,0.0,0.17,0.0,0.25,0.0,5.33
abituale,0.15,0.17,4.5,0.0,4.83,0.17,0.12,0.0,0.08,0.0,0.0,0.17,4.83
abituare,0.54,0.42,4.67,0.12,6.0,0.62,0.46,0.0,0.17,0.17,0.17,0.25,5.67
abitudine,0.45,0.17,4.17,0.17,5.33,0.33,0.58,0.0,0.17,0.29,0.08,0.42,5.0
abolire,0.21,0.67,5.67,0.25,5.83,0.17,0.25,0.0,0.42,0.54,0.25,0.29,5.0
abolizione,0.04,0.17,5.83,0.21,4.33,0.04,0.04,0.0,0.17,0.17,0.17,0.08,4.67
abominevole,0.0,0.0,6.5,0.96,4.67,0.0,0.0,0.0,0.79,0.54,0.29,0.5,2.17
abominio,0.04,0.0,7.33,0.83,5.33,0.04,0.04,0.0,0.62,0.83,0.17,0.67,2.33
aborrire,0.0,0.17,6.67,0.83,4.33,0.0,0.0,0.0,0.62,0.83,0.17,0.5,2.83
abusato,0.21,0.25,7.33,0.92,3.17,0.42,0.0,0.0,0.79,0.96,0.21,0.96,1.67
abuso,0.17,0.29,7.0,0.83,3.0,0.33,0.0,0.0,0.83,0.83,0.29,0.83,1.67
accademia,0.12,0.08,4.67,0.0,6.17,0.17,0.08,0.0,0.0,0.0,0.0,0.0,5.67
accademico,0.23,0.5,3.0,0.0,5.5,0.29,0.17,0.0,0.0,0.0,0.04,0.04,4.83
accadere,0.56,0.71,7.0,0.12,4.33,0.54,0.58,0.0,0.42,0.21,0.83,0.29,5.83
accanimento,0.0,0.04,6.33,0.58,4.83,0.0,0.0,0.0,0.38,0.83,0.04,0.29,2.17
accanirsi,0.0,0.25,6.33,0.62,2.67,0.0,0.0,0.0,0.67,0.83,0.08,0.58,2.83
accanto,0.33,0.21,3.5,0.0,5.17,0.42,0.25,0.0,0.04,0.12,0.04,0.12,6.33
accaparrare,0.29,0.33,6.33,0.17,6.33,0.17,0.42,0.0,0.17,0.29,0.08,0.08,5.67
accarezzare,0.81,0.33,4.33,0.0,6.17,0.79,0.83,0.0,0.17,0.0,0.08,0.21,7.83
