parola,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa
????,0.23655108723679363,0.5212028379250518,0.5597531571047227,0.3689383565838536,0.32661321717866637,0.17617760511753716,0.844480225420323,0.2912251436216162
a_caso,0.16267475490576813,0.34522051004931653,0.44917213528914524,0.6555890244901539,0.24026387920232864,0.17412007492955117,0.8711580161076717,0.32896780305504747
a_malincuore,0.058389341215157424,0.9112253914763101,0.38916400568477505,0.3822532283828302,0.3737602445381219,0.08502811557208606,0.18154642786088726,0.18626855691870225
a_scanso_di,0.33627181815436685,0.4175179538310296,0.5549880605559692,0.36318281007471376,0.2023397565569121,0.4644700852166514,0.45133090697359723,0.7222920633987304
abbagliante,0.5839913105363002,0.14193814928234844,0.2265281002247263,0.2621572625510258,0.098154893791371,0.38605941589499493,0.8163443737480721,0.7087818077370055
abbandonare,0.09909504827181134,0.9093045447798751,0.8813238351437278,0.8826673065246464,0.8563127308746186,0.2440091839592386,0.524749411132391,0.44692776056381184
abbandonato,0.06447949479344964,0.9420484321968072,0.8358831127797552,0.8138297131937985,0.6161977173033921,0.0946104913958476,0.3078669498284825,0.22790850914137556
abbandono,0.045162800962604124,0.9365526378594988,0.7235036859292894,0.7379835046750748,0.40280688567933587,0.09977272339282119,0.16075993679191852,0.09053763997425122
abbassare,0.21778936577834498,0.5270405194050729,0.5058984094893251,0.582005898981796,0.4315557881879702,0.24404045520760598,0.4318430992193567,0.25920616054214046
abbastanza,0.6079803069929793,0.37796342431919705,0.38320881661255374,0.3992739595772802,0.3227323973535673,0.563954085988409,0.47892866310301035,0.5404326286109523
abbattere,0.10275695688424583,0.7639911124135126,0.8975162039507205,0.6852830524090909,0.6364648611108463,0.1353795050179528,0.28715423602078155,0.2706282843818199
abbattersi,0.11102363297570693,0.9009925366797751,0.4468706586545541,0.5581601852248833,0.22377073977041717,0.2481623814756579,0.16984297523434141,0.2151730357183327
