parola,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa
????,0.16662043489471745,0.46048113517002076,0.4759012628418891,0.24957534263354145,0.23264528687146657,0.09447104204701487,0.8117920901681293,0.21849005744864652
a_caso,0.08906990196230727,0.26408820401972666,0.35366885411565807,0.5862356097960616,0.14410555168093148,0.09364802997182048,0.8464632064430687,0.257587121222019
a_malincuore,0.02335573648606297,0.8624901565905241,0.28166560227391,0.27890129135313213,0.27550409781524876,0.034011246228834426,0.09661857114435492,0.1465074227674809
a_scanso_di,0.23650872726174677,0.31700718153241186,0.4739952242223877,0.2472731240298855,0.10493590262276485,0.3357880340866606,0.3065323627894389,0.6369168253594921
abbagliante,0.5095965242145202,0.08077525971293939,0.16261124008989053,0.17686290502041033,0.0392619575165484,0.25642376635799796,0.7525377494992288,0.6555127230948022
abbandonare,0.03963801930872454,0.9637218179119501,0.9045295340574913,0.9290669226098586,0.8945250923498476,0.19960367358369546,0.48589976445295646,0.4547711042255248
abbandonato,0.025791797917379858,0.9768193728787229,0.8323532451119021,0.8235318852775194,0.570479086921357,0.03784419655833904,0.225146779931393,0.19316340365655021
abbandono,0.018065120385041652,0.9506210551437996,0.6914014743717157,0.7211934018700299,0.31112275427173436,0.06390908935712847,0.06430397471676741,0.03621505598970049
abbassare,0.135115746311338,0.36081620776202916,0.32835936379573005,0.4068023595927184,0.2746223152751881,0.1456161820830424,0.27473723968774266,0.1516824642168562
abbastanza,0.49519212279719177,0.2771853697276788,0.27928352664502154,0.2857095838309121,0.23109295894142695,0.4235816343953636,0.31757146524120416,0.41417305144438094
abbattere,0.06510278275369832,0.731596444965405,0.8870064815802883,0.6461132209636363,0.5785859444443386,0.07815180200718111,0.18686169440831263,0.23425131375272795
abbattersi,0.06840945319028277,0.8583970146719101,0.35274826346182164,0.47526407408995336,0.11350829590816688,0.20126495259026317,0.06793719009373657,0.1580692142873331
abbattuto,0.07077823970107146,0.9585192976719751,0.5859191992742532,0.4735607293944212,0.4341407442149745,0.19520184218445108,0.2993541624804657,0.12072920076158428
abbellimento,0.9092096499968267,0.029901397032328123,0.03258873420312746,0.048688200849661745,0.023030003692946627,0.6199902370747883,0.6887469139256661,0.7888211675579069
abbigliamento,0.30728134854320355,0.029089811239883603,0.02400124519182227,0.03929628624509249,0.017739723427639607,0.2619139338038876,0.14447885558326035,0.3036190502158935
abbinare,0.5795087211044927,0.1593878404353674,0.15992152878682458,0.21726094255495348,0.14911006699956317,0.7139868187465125,0.48333857769519184,0.8438821975005719
abbonamento,0.340038618666646,0.27140449192264826,0.6905893429028467,0.23651157537663492,0.1783562678334043,0.5842018273213997,0.2547809331179227,0.4346538653617854
abbonare,0.484802343264629,0.0421682108638089,0.050922430712674716,0.17416358641149046,0.14954945193456465,0.45962821748639693,0.6049478879733938,0.5968444545532325
abbondante,0.7075303381807669,0.3238743583782122,0.2205568544410872,0.14623677497099286,0.28477551100915555,0.5218140651614138,0.5266261684032036,0.3933877541811728
abbondanza,0.8377701065704067,0.11239330380649501,0.11688285340045804,0.13014631930951925,0.10704748468001574,0.29612913971464183,0.6250544513339227,0.7608192761851449
abbordabile,0.6191606182128452,0.028971100185280027,0.023627682939639967,0.03878993986666579,0.016960819905943655,0.7880592874367346,0.24243827556451752,0.6549852802401593
abbracciare,0.8703117626059352,0.49510247352899933,0.12780328928427892,0.2197682805801508,0.15294153688231416,0.7581771856180429,0.6895150207498384,0.3454083215568974
abbraccio,0.9724341315370534,0.5598760676532348,0.07982691336913526,0.16520084661022028,0.037061059309918536,0.8311948049171863,0.38479862746717153,0.49334562331039566
abdicare,0.0681833813331281,0.26099962510802394,0.273090448740101,0.1804533360146759,0.20608510522888102,0.25779331126678395,0.4041903176367854,0.2615784927356869
aberrante,0.02009640953931597,0.34843946138278203,0.4487290382185548,0.6087485465552107,0.8515516885325748,0.026099388066426973,0.22191858821837132,0.0361549556681694
aberrare,0.015565279631658036,0.39559856585929487,0.5979447462062942,0.6528360321602398,0.629147570797409,0.025208551072925012,0.0673935375566272,0.035232904688480504
abietto,0.014628909450261133,0.386744743631921,0.6275462579196048,0.4595996646894904,0.816168984758967,0.02192294549642289,0.06152279172860047,0.03008719381938999
abiezione,0.030262766592119558,0.8036024700356794,0.5882208778463732,0.6110507616401974,0.7326032093696092,0.08049375663185435,0.15117324094740903,0.30623115436016995
abile,0.5086987429315687,0.06818219413959672,0.02504324553383481,0.04002015005982876,0.018197781270836242,0.7900798635729483,0.19611666534278951,0.7022316322708261
abilità,0.4762712984509483,0.07189873325465758,0.027680115913193568,0.07934411581223473,0.020490928983051045,0.645014801381514,0.165097662026767,0.746917114422551
abisso,0.02214525561983992,0.7027844136830427,0.24737181298724134,0.8454393098412603,0.23626584438649867,0.036377764193250305,0.10624921487933181,0.15224767764602715
abitante,0.41466475696128247,0.025458225959116718,0.016851392097755335,0.03071078268339967,0.012541784852261659,0.5573973245629316,0.07900381514505209,0.37440090689570144
abitare,0.4257477461459134,0.025948336717536654,0.022504533921192393,0.03730035626858752,0.016113632951529212,0.5246360032341324,0.20444229058851351,0.30151870544572285
abitatore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abitazione,0.7054633845001002,0.20940909049513584,0.20985333269251,0.21971152202390087,0.201529093645321,0.7161487155088967,0.36836560614063046,0.4790202159626308
abito,0.30885237548184874,0.0545749314177904,0.0644063926388466,0.2474311194870495,0.1749782007207349,0.323619031435321,0.3684614835738269,0.39775611435329006
abituale,0.22016340024344083,0.2657535628615444,0.05537643164369241,0.16250176984137898,0.046560512243370315,0.2994755992060555,0.09433017917931145,0.2870606117754652
abituare,0.5192121887606946,0.2950314078545879,0.21774380510510866,0.2279998702506808,0.16270310230135412,0.682150142535689,0.2621301438514828,0.48750500745813347
abitudine,0.6233223146067639,0.46893799887680915,0.34394691753558315,0.2364476149881114,0.2261229006334621,0.39816803987415983,0.1749429970630963,0.2391464999839612
abolire,0.29805708586449503,0.35602919007882794,0.5860996223632409,0.4783272392720951,0.31076140520875606,0.24887062643441532,0.34168147453779174,0.6968210483000626
abolizione,0.10234769320059899,0.17823497213888093,0.29296796229319216,0.28462543434342324,0.32523824003863155,0.11750281329610095,0.2911827063091128,0.26117811375716427
abominevole,0.02280341403940801,0.5324516746751758,0.5848141306437531,0.7867753757178485,0.948400415550224,0.029021927330545667,0.32792471138570767,0.03958675660427095
abominio,0.0585743452885697,0.6872171104508369,0.8392398591889847,0.637671339001777,0.8337314054474192,0.06571692519684819,0.22148137903676057,0.03928517048699175
aborrire,0.02563829424333853,0.5389413242292208,0.8428579494463708,0.640064883584105,0.8368298893802375,0.0364571211124817,0.22731847846723252,0.1940084551450438
abusato,0.03685158689191558,0.9313198226458381,0.938445968481783,0.7799749409121215,0.8963709915279798,0.4115305914233079,0.2639853977960911,0.2719241274370711
abuso,0.039162377394773844,0.8248335473485773,0.8334588414745552,0.8225547280975732,0.8244765379762813,0.33878652074743093,0.3393758137926889,0.31134066819260237
accademia,0.19329840656298583,0.024425208468427773,0.01601682544411594,0.029082970302790265,0.011519090136648749,0.33119301639555465,0.07080003477730072,0.1955238073873901
accademico,0.2529461595336954,0.0756911671748021,0.027784869920573458,0.04214570076749584,0.020406449912528747,0.3987403718059507,0.12812203174003162,0.5898565441258381
accadere,0.6058101460652381,0.3223500801897323,0.25872093886565506,0.45607747303638513,0.16434613433954026,0.5831773961245776,0.8474315973737566,0.7267366285564756
accanimento,0.01740856439243936,0.3532034162287234,0.8532668833740005,0.4265393444592522,0.6227521715280588,0.025978735302071062,0.10164310705675915,0.07040620480122839
accanirsi,0.02684044524675916,0.6162205062000717,0.8448183506475284,0.6896391361905013,0.6514086377163664,0.041335435833471525,0.15114237866431413,0.2688693583643455
accanto,0.3417709470799774,0.17356599944544723,0.16501579878259107,0.09645371400649652,0.03639325501447504,0.5278491458787617,0.1303413299104063,0.30531974022392916
accaparrare,0.4959158751980313,0.15038434830100217,0.35632071701077833,0.24167886622453816,0.23242073751922232,0.2690824381564258,0.19153249702372901,0.4119940688678364
accarezzare,0.8368554380974796,0.22749145252877828,0.03145183691844219,0.19808495227133138,0.02581701685962224,0.8096457264485695,0.1591207987415013,0.3838285897086745
accasciato,0.025350987873763733,0.7939481040391008,0.45012813637877425,0.4470260109387374,0.24645425728507547,0.07157808044492595,0.17914237506756592,0.07785198500155983
accedere,0.5034623813120924,0.032169123472030416,0.0387987423276161,0.09325988196077749,0.027322260448540192,0.3460848339169895,0.5055597742167094,0.4109026559659106
accelerare,0.3332547188875993,0.10896352359810528,0.18568981149099345,0.7798119787018467,0.05901060386194982,0.23910710622414155,0.29604855820423254,0.38763083789434183
accelerazione,0.4990810141647739,0.05056574550796335,0.047837651637510754,0.3847526592916158,0.03765345441616662,0.2712918275179048,0.18377306099354618,0.41476796761654655
accendere,0.6182963787821757,0.09784588108034135,0.36552350176959436,0.4218425229776091,0.08988547486488274,0.591238490396699,0.5993785310054217,0.4422345840804379
accennare,0.24673091738600697,0.07427784191647618,0.040755046064414095,0.05631791230693633,0.027942357888610027,0.46042818927398566,0.5247996736235199,0.6743144307905847
accento,0.25486869925451366,0.24784819569949185,0.2560204884091443,0.21376508566640673,0.15081794733792542,0.1795545665841873,0.44760557806774226,0.4242551579295586
accertamento,0.02345109848939882,0.365675566915058,0.129637235279209,0.41019746364245335,0.07246282413541154,0.03657602737671074,0.1115387047927153,0.08759423350234696
accertare,0.11349792853945631,0.19514708815376047,0.24975619291628182,0.37683144829832455,0.1050660310369812,0.46320516496672615,0.3865038512308033,0.3005932117778997
accertato,0.38720971587083075,0.25571845790173703,0.2594506793297937,0.2646534163060772,0.19768135000629572,0.31640056875045425,0.2900126227885923,0.2691025471168764
acceso,0.7887809153434202,0.04188304493045761,0.15209393873926652,0.2107605961999327,0.07054773678438561,0.45879302640894504,0.3347014835077715,0.4800665835041157
accesso,0.26178977516532,0.07897428946706499,0.03637128471725129,0.09190512795903225,0.02608093500674188,0.5289770744512468,0.2614793973355034,0.42892658016704044
accessorio,0.20599193843183833,0.026152366609449702,0.019135513868893672,0.03134455149499454,0.014925292741182034,0.09963594630723671,0.08560958600867195,0.26895329795986767
accettabile,0.495237099835493,0.23412063664745064,0.31269990633535605,0.24613413697456282,0.13892359246453434,0.31078497836674945,0.3957548653596915,0.49912203363285707
accettare,0.5875527134625282,0.472151595461066,0.34955865214613874,0.2815945873135162,0.22957758459899913,0.29701543605387476,0.27158516708143676,0.47904968689259475
acciaio,0.41819414180761927,0.1079638861277716,0.24057019548600916,0.24444814353586797,0.23196529433504237,0.2793314843062119,0.23634483002795612,0.4741641686826294
accidente,0.10936935069604675,0.5790574356650617,0.8112551087359086,0.8020798893788251,0.5791488060928907,0.11945488351404172,0.46134894393089954,0.2077654711557666
accingere,0.17268844227493682,0.14178822067158986,0.10532148835857025,0.15976980237150692,0.09112726551452002,0.407343810735993,0.36421992209939735,0.3204320796910314
acciuga,0.2741241723300769,0.1509359139912922,0.11282256378844606,0.06243937410669509,0.30417173813779325,0.23115073089544472,0.14314805746763368,0.27411307508885885
acclamazione,0.8060060964458532,0.02896509926959205,0.02844402325200242,0.044356653875559246,0.020300333559082128,0.7090817652536666,0.47088423749514297,0.6488350004362005
accoglienza,0.847315896910428,0.2444540895396,0.20658407363020084,0.2179066514012153,0.15366228822007566,0.4914514523689707,0.33578811166437106,0.6189890801612953
accogliere,0.8218282103975697,0.1926582062620587,0.08153670760173927,0.24491261242534706,0.06992963622568726,0.9464748224631029,0.7561769388246836,0.8227894338233487
