parola,gioia,aspettativa,rabbia,disgusto,tristezza,sorpresa,paura,fiducia
????,0.23504026902600247,0.29149713574146624,0.5531017356799725,0.3258490119168009,0.5165496435984681,0.84747628379229,0.36577946209322815,0.17428918260923257
a_caso,0.1616092402252946,0.32867967933543296,0.4398741581147575,0.237396027952104,0.33872106928001294,0.8767666805282246,0.6553406176562662,0.17211493083338758
a_malincuore,0.05569040935730856,0.1841993446254533,0.38511798054333773,0.37627139029242407,0.9106482719094773,0.18209609929565418,0.3775068850088831,0.0817281888081699
a_scanso_di,0.3334579812989539,0.7208210154479546,0.5494825803032338,0.19932967761441395,0.4072682647791244,0.4453776439903159,0.3573252942166246,0.4617554862178481
abbagliante,0.5830565431154383,0.7101656922729002,0.21872340324287826,0.09482417238450126,0.14176915226673759,0.8110766275517635,0.2612376879716331,0.3858421814551218
abbandonare,0.09640603816663391,0.44528652775684363,0.8773345237149035,0.8552132179950818,0.8939631625510032,0.5246014124845879,0.8786168403835846,0.24001498149866957
abbandonato,0.06200736871889103,0.2253977775889579,0.8324437488801264,0.6158739254596561,0.9282142621880062,0.30870893226283924,0.8089727942494065,0.09075682608581717
abbandono,0.04279451066709309,0.08714390978970964,0.7201149296387683,0.40313732691631377,0.9254746661279525,0.16186867648471834,0.732846266362704,0.09631847737318239
abbassare,0.2155011226019378,0.2572971893414015,0.5003080699828452,0.42998396865546623,0.513982620716827,0.43054059828278884,0.5787731780071614,0.24102371675556944
abbastanza,0.6058350810639302,0.5395409056841609,0.37857747579065754,0.32012892936774023,0.36916945827332154,0.46688560306059146,0.39587278095486417,0.5630337898024359
abbattere,0.1002227065146335,0.26834034174900373,0.8955514056243552,0.6355740962895254,0.7462322732986058,0.286254092545305,0.679499485386823,0.13150104125272838
abbattersi,0.10826681863206819,0.21160195780863625,0.44142409994049814,0.22481563009644495,0.8979091827858537,0.1694843399699903,0.5533545174908728,0.245147701280722
abbattuto,0.11420766815309284,0.1795306571977128,0.6508978075592307,0.5163727546175676,0.948034104125868,0.37344597447669337,0.5487936558724008,0.22970964911887715
abbellimento,0.8920878359680839,0.7881346745020807,0.07592565656412593,0.05466860076635258,0.07602406752928881,0.7049558284949753,0.12086869776485154,0.6810156128449745
abbigliamento,0.5118775214076167,0.5043697152674075,0.0561383015196249,0.04135271058548427,0.07222496155215731,0.2859032266864374,0.09647242536975344,0.4755461200134662
abbinare,0.6366521397880378,0.8645426399091423,0.21383441696574282,0.1895002456958309,0.21446590944554325,0.5673567212947008,0.286172078223987,0.7793428437014572
abbonamento,0.41242023717390475,0.51437166593632,0.7194368044208949,0.26307173252979554,0.34714021098055287,0.3727966973820004,0.3295809710802556,0.6487122109727484
abbonare,0.5806593910907102,0.6832319990419928,0.12035452117600245,0.1905319297279362,0.10384999950049241,0.6939543219977099,0.25534753930937987,0.5790219932895173
abbondante,0.762222874958546,0.48877756418334006,0.2922188994226615,0.3354553837277643,0.37125440917015445,0.6142940925759235,0.24312092863755325,0.6147763536707986
abbondanza,0.8485944462440402,0.778495993628092,0.16649035497819342,0.144688952529004,0.16109764155010112,0.6816151878152763,0.20401904469285037,0.42574225362752394
abbordabile,0.6761636146392345,0.7070776082433894,0.055270275545244565,0.03956606182093265,0.07081819340083563,0.3365518288021552,0.09531107465427383,0.8458437244257728
abbracciare,0.8543104203343213,0.428182522950896,0.19387465764757808,0.20135247492267258,0.48877047141343355,0.7080052284388987,0.2928025252984942,0.7712197204711779
abbraccio,0.9293866056930701,0.5424056452114498,0.13482589821836233,0.09179631198419971,0.5319755369807401,0.4531457485229077,0.23050030640516395,0.8338274679087418
abdicare,0.16776269667915056,0.3984748677387869,0.42113664542730594,0.3337205733358065,0.38951012916139455,0.5756096785240642,0.3277234828215408,0.3868100839066046
aberrante,0.04846237062374607,0.08987180467130473,0.5512079616048677,0.8828066488194386,0.41658082837746946,0.29913437498414747,0.6504495335939031,0.06181546999244982
aberrare,0.036952122241786706,0.08608191837069756,0.6844068250717275,0.7014386926652743,0.4723259979351343,0.16769937022654863,0.6986955400092952,0.05933541399009051
abietto,0.034522613100872936,0.07422718164840188,0.7006683920780219,0.8548359438277477,0.44984186441137364,0.15154932674529178,0.5150928444934767,0.05119413012519186
abiezione,0.07288038258914772,0.3289311348630548,0.6580264533709399,0.7663928115545457,0.8098991836145792,0.2566384317382263,0.6533580163831464,0.13710313450280567
abile,0.5796588617339569,0.7499351399251521,0.0585506800002684,0.042747467586190434,0.10877824940211445,0.29666770917996305,0.09809839683370573,0.85037004382188
abilità,0.5585831641626274,0.8017846955688175,0.06470035694502752,0.04816987964011669,0.11795492131287255,0.2793771641514617,0.13632687886555944,0.7423239648161781
abisso,0.053344766428501965,0.1975161003541592,0.3566255527215294,0.3349349504827104,0.7450764710877039,0.20787635469399887,0.867157218310064,0.08759562230173101
abitante,0.539909697601361,0.500045439928976,0.03978822219477286,0.02882914788718791,0.061035026127421614,0.1814169848766838,0.07489101235666405,0.7044275535996585
abitare,0.5679367817365978,0.43831365986438614,0.05294162867209246,0.03782813842660641,0.06342793435071788,0.3163136494325909,0.09198430289648686,0.6829778578281823
abitatore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abitazione,0.7568195939832159,0.5668754698563995,0.26573849211661915,0.2462862783017824,0.2625773948895285,0.4717215164172346,0.2918676995707783,0.7856433144010702
abito,0.45555556695927446,0.5599307335180336,0.15389783546824526,0.25353858759981296,0.13077293513788987,0.5378276187483089,0.3640402432295771,0.49331446447901717
abituale,0.3676244555488026,0.4604250786697049,0.1321803348407799,0.1154157930963519,0.41046168071527955,0.22515198493062216,0.28325821796150896,0.4924585107753848
abituare,0.6055817208560476,0.5873155615899533,0.28496164533782875,0.22450069094996394,0.35653416821984324,0.3872302154836241,0.3117685493149764,0.7748637647961747
abitudine,0.6863642567367025,0.3413054547327734,0.4227054212926704,0.30961497403513494,0.5354630121177255,0.30359705802063175,0.3312616700326902,0.500077227925408
abolire,0.36757422939972095,0.7358151873931347,0.6501530543346157,0.39849455491512664,0.44058521511120896,0.4735978624542158,0.5609133972026811,0.3640065733703743
abolizione,0.19361673507530439,0.3979049485090151,0.47296192259475517,0.4951799553384483,0.3087606388352473,0.4709102377724368,0.4538484751873582,0.23033630745447647
abominevole,0.05511693188160272,0.09807449169955555,0.6503086273295198,0.9300519226428675,0.562960317960233,0.385077281427383,0.7800418125451429,0.06904178960955026
abominio,0.08419732471218119,0.09661241225092015,0.8526012502161185,0.8389509810927921,0.694160925508197,0.29772999230940395,0.659592824434996,0.1007071127708648
aborrire,0.06181421482773446,0.22870221802207907,0.8615122522224523,0.8458506142008984,0.576437812437033,0.312318340561666,0.6656498287031172,0.08723009700591354
abusato,0.08921165843167031,0.3026009635767225,0.9040095381823701,0.8602971513275933,0.871056589073337,0.3428826006018257,0.7600924538046949,0.39504074195925465
