parola,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa
????,0.16601610761040098,0.45861985743938727,0.473240694271989,0.24831178483729127,0.2323396047667204,0.09371567304369302,0.8129905135169162,0.2185988542965865
a_caso,0.08864369609011785,0.2614884277120052,0.349949663245903,0.5861362470625064,0.1429584111808416,0.09284597233335504,0.8487066722112899,0.2574718717341732
a_malincuore,0.022276163742923426,0.862259308763791,0.2800471922173351,0.2770027540035533,0.2765085561169696,0.03269127552326796,0.09683843971826168,0.14567973785018132
a_scanso_di,0.23538319251958156,0.31290730591164984,0.47179303212129353,0.2449301176866499,0.1037318710457656,0.3347021944871393,0.30415105759612643,0.6363284061791818
abbagliante,0.5092226172461753,0.08070766090669504,0.1594893612971513,0.17649507518865326,0.037929668953800504,0.2563368725820487,0.7504306510207054,0.65606627690916
abbandonare,0.03856241526665357,0.9575852650204013,0.9029338094859615,0.927446736153434,0.8940852871980327,0.19800599259946786,0.48584056499383527,0.4541146111027375
abbandonato,0.024802947487556414,0.9712857048752025,0.8309774995520507,0.8215891176997626,0.5703495701838626,0.03630273043432687,0.22548357290513574,0.19215911103558314
abbandono,0.017117804266837237,0.946189866451181,0.6900459718555074,0.7191385065450816,0.31125493076652555,0.06252739094927295,0.06474747059388734,0.034857563915883856
abbassare,0.1342004490407751,0.35559304828673083,0.3261232279931381,0.4055092712028646,0.2739935874621865,0.14440948670222775,0.27421623931311556,0.1509188757365606
abbastanza,0.49433403242557217,0.27366778330932867,0.27743099031626306,0.2843491123819457,0.23005157174709612,0.42321351592097434,0.3127542412242366,0.41381636227366436
abbattere,0.06408908260585339,0.7244929093194422,0.8862205622497422,0.6437997941547292,0.5782296385158102,0.07660041650109137,0.18650163701812203,0.2333361366996015
abbattersi,0.06730672745282729,0.8571636731143415,0.3505696399761993,0.4733418069963492,0.113926252038578,0.20005908051228882,0.06779373598799614,0.1566407831234545
abbattuto,0.06968306726123713,0.9552136416503472,0.5843591230236924,0.4715174623489603,0.4345491018470271,0.19388385964755087,0.2993783897906774,0.11981226287908511
abbellimento,0.9088351343872337,0.03040962701171552,0.03037026262565037,0.04834747910594063,0.021867440306541034,0.6204062451379897,0.6839823313979901,0.7892538698008323
abbigliamento,0.3067510085630467,0.028889984620862924,0.022455320607849962,0.038588970147901386,0.01654108423419371,0.2622184480053865,0.13836129067457498,0.303747886106963
abbinare,0.5786608559152152,0.1577863637782173,0.15753376678629713,0.21646883128959482,0.14780009827833238,0.713737137480583,0.47894268851788036,0.843817055963657
abbonamento,0.3389680948695619,0.2648560843922212,0.689774721768358,0.23383238843210225,0.1772286930119182,0.5834848843890994,0.25111867895280016,0.433748666374528
abbonare,0.48426375643628417,0.041539999800196965,0.04814180847040098,0.17413901572375196,0.1482127718911745,0.45960879731580695,0.601581728799084,0.5972927996167972
abbondante,0.7068891499834185,0.32250176366806177,0.2188875597690646,0.14524837145502134,0.28418215349110576,0.5219105414683195,0.5217176370303694,0.39351102567333607
abbondanza,0.8374377784976161,0.11243905662004046,0.11459614199127738,0.12960761787714015,0.1058755810116016,0.2962969014510096,0.6206460751261105,0.7613983974512368
abbordabile,0.6184654458556937,0.028327277360334253,0.02210811021809783,0.03812442986170953,0.01582642472837306,0.7883374897703093,0.23662073152086208,0.6548310432973558
abbracciare,0.8697241681337287,0.4955081885653735,0.12554986305903126,0.21912101011939772,0.15254098996906906,0.7584878881884713,0.6852020913755595,0.3452730091803584
abbraccio,0.9717546422772281,0.560790214792296,0.07793035928734493,0.16420012256206556,0.03671852479367988,0.8315309871634967,0.37925829940916306,0.49296225808458
abdicare,0.06710507867166023,0.25780405166455783,0.2704546581709224,0.17908939312861633,0.20548822933432262,0.25672403356264184,0.4042438714096257,0.2613899470955148
aberrante,0.01938494824949843,0.34063233135098775,0.44848318464194714,0.6081798134375612,0.8511226595277755,0.02472618799697993,0.221653749993659,0.035948721868521896
aberrare,0.014780848896714683,0.38693039917405375,0.5977627300286911,0.6514782160037181,0.6285754770661097,0.023734165596036208,0.06707974809061948,0.03443276734827903
abietto,0.013809045240349175,0.37793674576454944,0.6282673568312087,0.45803713779739075,0.8159343775310992,0.020477652050076747,0.06061973069811673,0.029690872659360747
abiezione,0.02915215303565909,0.7979596734458317,0.587210581348376,0.6093432065532585,0.7325571246218183,0.07884125380112225,0.15065537269529053,0.3055724539452219
abile,0.5078635446935829,0.06751129976084577,0.023420272000107354,0.039239358733482305,0.01709898703447617,0.7901480175287521,0.19066708367198523,0.7019740559700609
abilità,0.47543326566505095,0.07118196852514902,0.025880142778011008,0.07853075154622377,0.019267951856046676,0.6449295859264712,0.1597508656605847,0.7467138782275269
abisso,0.021337906571400788,0.7000305884350816,0.24465022108861173,0.8448628873240257,0.2359739801930842,0.035038248920692405,0.10715054187759956,0.15100644014166367
abitante,0.41396387904054444,0.024414010450968648,0.015915288877909144,0.02995640494266563,0.011531659154875164,0.5577710214398635,0.07256679395067353,0.37401817597159037
abitare,0.42517471269463913,0.02537117374028715,0.021176651468836988,0.03679372115859475,0.015131255370642563,0.5251911431312729,0.19852545977303637,0.30132546394575443
abitatore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abitazione,0.7047278375932864,0.20703095795581145,0.2082953968466477,0.21874707982831132,0.20051451132071296,0.7162573257604281,0.36268860656689383,0.4787501879425598
abito,0.3082222267837098,0.05230917405515596,0.06155913418729811,0.24761609729183087,0.17341543503992518,0.32332578579160687,0.36513104749932357,0.3979722934072134
abituale,0.21904978221952104,0.26618467228611187,0.05287213393631195,0.1613032871846036,0.04616631723854076,0.2989834043101539,0.09006079397224888,0.28617003146788195
abituare,0.5182326883424191,0.2926136672879373,0.2159846581351315,0.22670741972599057,0.16180027637998556,0.6819455059184699,0.2568920861934496,0.48692622463598134
abitudine,0.622545702694681,0.46618520484709025,0.3430821685170682,0.23450466801307612,0.225845989614054,0.3980308911701632,0.16943882320825274,0.23852218189310936
abolire,0.29702969175988836,0.3502340860444836,0.5840612217338463,0.47636535888107245,0.3093978219660507,0.2476026293481497,0.33943914498168637,0.6963260749572538
abolizione,0.10144669403012176,0.17150425553409893,0.2911847690379021,0.28353939007494333,0.32407198213537936,0.1161345229817906,0.29036409510897476,0.2611619794036061
abominevole,0.022046772752641094,0.5251841271840932,0.584123450931808,0.7860167250180573,0.948020769057147,0.027616715843820108,0.32803091257095324,0.039229796679822224
abominio,0.05767892988487247,0.6796643702032787,0.8390405000864474,0.6358371297739984,0.8335803924371169,0.06428284510834592,0.22109199692376158,0.03864496490036806
aborrire,0.024725685931093783,0.5305751249748132,0.8426049008889809,0.6382599314812469,0.8363402456803594,0.03489203880236541,0.2269273362246664,0.19348088720883164
abusato,0.035684663372668124,0.9244226356293348,0.937603815272948,0.7780369815218782,0.8961188605310374,0.4100162967837019,0.2631530402407303,0.271040385430689
abuso,0.03803753014909514,0.8180152839721363,0.8322241621509591,0.8208635283859744,0.8240473116145162,0.3372463349411993,0.3388460215762259,0.31051990877293734
accademia,0.19249850955266867,0.023113415239380063,0.015107348276184804,0.028387417589769648,0.010591590196840568,0.33148817851043655,0.06499296961908216,0.19496316300934158
accademico,0.25200832973494713,0.07529996685436892,0.02581703706842091,0.04120526297561863,0.019234958125848994,0.3983431655797832,0.12368551513327707,0.5897438082230853
accadere,0.6051012754256285,0.3209182395667962,0.25544648004442483,0.4555220419683752,0.16310226865740673,0.5828369796889963,0.844895865483791,0.7266834118767096
accanimento,0.016586090278078874,0.3436047671622404,0.8539299941076932,0.42417523294029774,0.6222350397559395,0.024539865426529577,0.10101310207487967,0.06975643397138293
accanirsi,0.02585410933572282,0.6083516685819275,0.8441533016826307,0.6875707620499318,0.6508602919012534,0.03969786238400952,0.1508135136412442,0.26804553177233004
accanto,0.34080632188549403,0.1713535336105468,0.1637859888998195,0.09486757196715957,0.035588520963732176,0.5278510576189513,0.12481586817243503,0.304507779495377
accaparrare,0.49522597697179066,0.14485123840581535,0.3555056824044489,0.23986527760430132,0.23106225522904744,0.26868532872467293,0.18597448290004687,0.41175651096121846
accarezzare,0.8362824982880523,0.22699872190414705,0.030152295828995496,0.19741138025810087,0.0250668326025582,0.8101772367480241,0.15262997691844865,0.3833054088257095
accasciato,0.024339515986168653,0.7913583360413715,0.44831485408879623,0.44503524322721766,0.2468994006363301,0.07023826325951107,0.1798226843359304,0.07673020567430872
accedere,0.5031722167736867,0.032770105811883936,0.036181582115769814,0.09318279786278089,0.026137520484216623,0.34649780336708436,0.5017469007423734,0.41140452837109254
accelerare,0.33282042665749345,0.10474775771889552,0.18237070774505248,0.7800198628668727,0.05701862299677553,0.2385097159635553,0.29451150663668146,0.38680143395494637
accelerazione,0.4987396527692149,0.04848763053838265,0.045358682249981803,0.3847669966156546,0.035884838512106686,0.27133263509981764,0.1788681557169201,0.414438849010035
accendere,0.6177482457215848,0.09423828469065765,0.3631148326956561,0.42105258734635925,0.08829768103201632,0.5912193745189529,0.5957479559684814,0.44189244672702677
accennare,0.2459617706051826,0.07476393455065714,0.037680957558560706,0.05595427764547592,0.026760857472370714,0.46010514466997454,0.5227070745657793,0.674626889139476
accento,0.2540729691073257,0.24589424057353385,0.2529977117071693,0.2125051284993829,0.14979581448305182,0.17877161470323297,0.4461221336245833,0.4243718428483041
accertamento,0.022718499055177463,0.36455367196423,0.12632009934447133,0.40975034553969425,0.07222252406036143,0.03539425474598822,0.11298338104638758,0.08629095460437583
accertare,0.11249319468379318,0.19114156288983958,0.24659359531566782,0.37612182439572805,0.10370510723394857,0.4624226432906893,0.38563181693817905,0.2997178277916329
accertato,0.38640221842541866,0.25194826531502557,0.25757177908593176,0.2632591422945496,0.1967441310234532,0.3160326960993409,0.2856869920334981,0.2686697962953477
acceso,0.7884379040059748,0.04009888630993832,0.1505304181899643,0.21008689474018022,0.06918268693776453,0.459222246688624,0.32865123493800175,0.4800854982394961
accesso,0.26088618875706415,0.07836842175087941,0.03399445334944211,0.09137741624596843,0.024948754374268307,0.5288845170983705,0.25748736382402365,0.428636360387191
accessorio,0.20561417605919052,0.02637478636680802,0.017761156330562203,0.03050053928225185,0.01372955575139971,0.09952882970770277,0.08052313625572072,0.26941488578566564
accettabile,0.4945126928952248,0.23128810797311344,0.3104581415074086,0.24463436159361318,0.13768953585524757,0.3104131177662317,0.3916825987424605,0.4989945024267048
accettare,0.5867011615551049,0.46969058561999044,0.34784562072668856,0.27971356337913666,0.22895901115741368,0.296517169831037,0.2669299480588211,0.47868289174719414
acciaio,0.4174527017780152,0.10328188239100135,0.2390679201803083,0.24324825900086766,0.23042879918061424,0.27882747069824254,0.2312961601812228,0.47413686011599077
accidente,0.10851742892113805,0.5719162518674923,0.8096930251670555,0.8005141758842571,0.578377989278912,0.11806527708833921,0.46152366608700957,0.20703312778051536
accingere,0.17174146085988573,0.14055458614999022,0.10224510580439392,0.15930871755247678,0.09009145367337784,0.4069342224609185,0.36222629031358033,0.320201625693826
acciuga,0.27322734704293594,0.14748714003953306,0.11261531156964497,0.061355518340988374,0.30374922381680647,0.23066324522090642,0.13741114556988945,0.2745290142505714
acclamazione,0.805536195985381,0.028998417371789254,0.026601530606203336,0.04389998211168229,0.019174520405888257,0.7095587865733064,0.46536136372183795,0.6490092692744295
accoglienza,0.8467274771325629,0.2429363468530641,0.20492790303688074,0.21679660452407612,0.15261686477515457,0.49155625107558376,0.329837194768102,0.6189361832039157
accogliere,0.8211657895292852,0.19233085099315833,0.07890426582447824,0.24450609320768682,0.06877930417262391,0.9466024673755448,0.7519527565520151,0.8227649014326034
accomodare,0.5074911689087451,0.10922487175793986,0.028528795219725414,0.04152054589720965,0.0632013533021788,0.5088632631093251,0.24343415907146287,0.1618373782128395
accompagnare,0.7313600225852896,0.35396933844568024,0.12151810969901733,0.3618000237406062,0.04155233120591621,0.7459509826593353,0.24968237326342874,0.5092737869385302
accontentare,0.3511782235151426,0.349429552372556,0.10941202785166537,0.21035405395647624,0.05855074455782834,0.1726765771798362,0.18060920876469333,0.16228671445640863
accorciamento,0.20451776640718244,0.2143146378554978,0.2832114030392119,0.28153022732107114,0.2723809881861693,0.26951015782939625,0.29193575230293534,0.21775543876772982
accordare,0.4339116439217654,0.20545454643898148,0.11862567082923342,0.21394630064998826,0.11015361816122318,0.7550500865272368,0.24992063027284253,0.7785359423440799
accordo,0.7016608113906232,0.07722729684081778,0.0713890085653485,0.20540923858161933,0.02740055655297732,0.3779679804647399,0.25361048221852633,0.8116563230566012
accorgersi,0.3547455902805679,0.12191413288855008,0.09646972750883548,0.184799863006946,0.15860248573091917,0.24983738844318754,0.7617341146960666,0.47808485692301395
accostare,0.12213596036450454,0.14680776693103575,0.05422357220140747,0.05709752972761405,0.19166555256097537,0.34224035169102585,0.12785723933160015,0.28727196861266846
accumulare,0.45328193833669916,0.3238343517538687,0.28952474613571,0.33075915400610023,0.28147377059741696,0.34186388400147816,0.226341279389014,0.3338663299218694
accuratezza,0.37800095832476704,0.1162442778927184,0.03579219908185095,0.05417937016369867,0.026695118826087633,0.5176945485550992,0.373786754842883,0.4668822110438754
accurato,0.625175671037576,0.03283691780240602,0.06215958190310718,0.07734942222199673,0.019315045313795395,0.4996288494502499,0.16373420455410942,0.7449793424260654
accusa,0.021801302869105074,0.5022984601979317,0.9261107446716476,0.46341505877573674,0.23948907209694997,0.18458273991985877,0.10139765375017815,0.039746162445232505
accusare,0.1577105009582455,0.683094752559923,0.768823928011027,0.6470313373627901,0.7240375566508872,0.2851010363695927,0.5382927813117929,0.4739010237216231
acerba,0.20765760080747261,0.500662156086267,0.42299081231496627,0.33384471700637697,0.41819812179826266,0.16765197499049514,0.1208915376789455,0.09283002099353674
acido,0.01660742392503984,0.37747103211515065,0.708505826362955,0.4217689576262261,0.8136164913459416,0.023742019465254227,0.0996817698989039,0.06855479767035694
acqua,0.5579908312300415,0.1299143361450296,0.09158646510907636,0.1795605418359673,0.16878465647921997,0.1780887585221908,0.17700453387319914,0.2531928409209968
acqua_stagnante,0.02198029984015386,0.46347443531871363,0.2907957775920683,0.2682784093068534,0.8266739797258637,0.029287512209301383,0.13591313875241162,0.14511178329133717
acquisire,0.7975689600112698,0.07176963990321739,0.06841561152818687,0.08466325384478073,0.0606929382184833,0.6293009157108213,0.43340591593316785,0.9120827161509755
acquisizione,0.6912234805584067,0.20115433624060086,0.07961363328081467,0.2826537349206111,0.07092035606273597,0.6331583743452021,0.32500094688672687,0.9188015482246231
acquistare,0.4670531017551848,0.09145475034406658,0.09368245366280928,0.2750012918212953,0.08235320342983538,0.35600422714408064,0.39195388437689377,0.47069589333266826
acquisto,0.6158406303286942,0.31078631050934186,0.08434618967464627,0.13776827328555807,0.07469346230744892,0.5963758398173611,0.586008680934627,0.8058390952867843
acredine,0.012866091020822971,0.3769494595349938,0.8174045870614849,0.22644781773445272,0.6229138142370685,0.018549130269425278,0.05501469025210052,0.026070500237743734
acume,0.7470864074074539,0.044444169573370544,0.15898255809546563,0.25369729578965006,0.14971790346172964,0.528497379310201,0.48615915093866047,0.480313112015831
acuta,0.255364151781181,0.13443699007119803,0.13732644312875286,0.15042516508645204,0.1262452477770865,0.3161036451156869,0.3915419566216599,0.5896152641023984
acutezza,0.6203148318858418,0.02887758408633126,0.06288471598533818,0.07384873774897391,0.05944253981613748,0.34915181164054265,0.08316430193515498,0.3672829238747992
acuto,0.24145099663783987,0.4100960373464495,0.3380629926933475,0.3016267348746989,0.2893902460942518,0.3741719474798963,0.31206000263384365,0.3718391450408614
adatta,0.5264834314700493,0.03006781789999728,0.03262068501520696,0.05088901971621012,0.023010563118620382,0.5334332834329434,0.557095137353244,0.4482740206959839
adattare,0.3930218793077802,0.08671567800832591,0.1668899510659283,0.09996329878106294,0.03560532932014903,0.44688193271284193,0.27060013382791104,0.35378876672514603
