Emozione,N. Commenti,N. Token,Versione
Gioia,621,20837,Originale (α=0)
Tristezza,621,20837,Originale (α=0)
Rabbia,621,20837,Originale (α=0)
Paura,620,20834,Originale (α=0)
Disgusto,609,20809,Originale (α=0)
Fiducia,621,20837,Originale (α=0)
Sorpresa,621,20837,Originale (α=0)
Aspettativa,621,20837,Originale (α=0)
Gioia,621,20837,Ibrido (α=0.2)
Tristezza,621,20837,Ibrido (α=0.2)
Rabbia,621,20837,Ibrido (α=0.2)
Paura,621,20837,Ibrido (α=0.2)
Disgusto,621,20837,Ibrido (α=0.2)
Fiducia,621,20837,Ibrido (α=0.2)
Sorpresa,621,20837,Ibrido (α=0.2)
Aspettativa,621,20837,Ibrido (α=0.2)
Gioia,621,20837,Ibrido (α=0.5)
Tristezza,621,20837,Ibrido (α=0.5)
Rabbia,621,20837,Ibrido (α=0.5)
Paura,621,20837,Ibrido (α=0.5)
Disgusto,621,20837,Ibrido (α=0.5)
Fiducia,621,20837,Ibrido (α=0.5)
Sorpresa,621,20837,Ibrido (α=0.5)
Aspettativa,621,20837,Ibrido (α=0.5)
Gioia,621,20837,Ibrido (α=0.8)
Tristezza,621,20837,Ibrido (α=0.8)
Rabbia,621,20837,Ibrido (α=0.8)
Paura,621,20837,Ibrido (α=0.8)
Disgusto,621,20837,Ibrido (α=0.8)
Fiducia,621,20837,Ibrido (α=0.8)
Sorpresa,621,20837,Ibrido (α=0.8)
Aspettativa,621,20837,Ibrido (α=0.8)
