comment_id,n_tokens_matched,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa,dominant_emotion
kfr4gvl,1,0.25,0.04,0.04,0.0,0.0,0.46,0.12,0.25,fiducia
kfq697r,2,0.16,0.24,0.34,0.24,0.34,1.0,0.58,0.76,fiducia
kfpcdso,21,5.79,7.3500000000000005,7.470000000000001,5.22,4.2,5.24,4.71,8.02,aspettativa
kfoa815,16,6.84,3.29,3.13,2.41,2.12,5.38,3.7700000000000005,6.44,gioia
kflfo20,2,0.79,0.25,0.5,0.7100000000000001,0.17,0.54,0.46,0.62,gioia
kfjtpno,9,4.63,1.12,0.5800000000000001,0.75,0.25,2.66,1.7799999999999998,3.62,gioia
kfjo89r,3,0.92,1.34,1.96,1.0499999999999998,1.17,0.66,0.49000000000000005,0.83,rabbia
kfjkz54,2,0.34,0.41,0.37,0.42000000000000004,0.29000000000000004,0.59,0.83,1.46,aspettativa
kfjb6p9,7,3.46,1.92,1.25,0.88,0.74,1.9100000000000001,2.07,2.8,gioia
kfhjw1h,16,4.46,2.37,2.11,3.1400000000000006,0.8800000000000001,4.76,3.91,8.309999999999999,aspettativa
kfg9ejx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
kfg2t5m,13,7.76,3.8899999999999997,2.84,2.48,1.27,5.48,5.16,7.37,gioia
kfeav8x,22,4.41,5.029999999999999,4.6000000000000005,8.34,3.9800000000000004,6.390000000000001,5.000000000000001,8.5,aspettativa
kfaienx,31,8.75,10.23,5.640000000000001,7.71,3.02,8.969999999999999,7.43,12.93,aspettativa
kf9kiqw,9,3.54,1.83,1.57,1.6099999999999999,1.33,3.1,2.71,4.23,aspettativa
kf9i1k2,6,2.13,1.8399999999999999,0.66,1.9200000000000002,0.33,2.42,1.9100000000000001,3.71,aspettativa
kf8t1mk,13,5.69,2.1900000000000004,1.5200000000000002,2.98,0.76,4.18,4.27,7.35,aspettativa
kf8mje4,17,7.25,3.13,2.1900000000000004,2.41,1.2,5.75,4.62,7.96,aspettativa
kf7b780,12,2.47,1.8399999999999999,1.31,1.87,1.87,3.05,2.44,3.7,aspettativa
kf6ucwv,15,4.49,4.57,4.98,4.33,2.96,3.83,3.58,6.62,aspettativa
kf6iy6q,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
kf6hubm,10,2.58,2.21,1.38,1.85,1.21,2.41,2.99,4.34,aspettativa
kf62drr,13,5.3,3.37,2.2,3.08,1.2100000000000002,5.76,3.79,6.29,aspettativa
kf5uyek,16,3.26,3.34,2.17,3.87,1.7999999999999998,2.84,4.7700000000000005,5.64,aspettativa
kf5j69m,6,1.6700000000000002,1.4900000000000002,1.41,1.08,0.79,2.0700000000000003,1.04,1.83,fiducia
kf5i77k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
kf5ezaq,14,4.04,3.3600000000000003,2.3600000000000003,4.01,1.53,4.720000000000001,3.8600000000000003,7.43,aspettativa
kf4tb50,4,0.25,1.28,1.16,1.42,0.54,0.5800000000000001,0.49,1.05,paura
kf4o0dh,41,12.370000000000001,8.429999999999998,7.69,8.4,2.8500000000000005,12.610000000000003,9.149999999999999,18.5,aspettativa
kf4i5lj,20,5.9,4.11,4.680000000000001,5.8,1.77,5.86,6.0,8.750000000000002,aspettativa
kf4h4gs,10,4.25,1.9500000000000002,1.75,1.75,1.74,4.33,2.84,4.51,aspettativa
kf4ef9e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
kf4e5en,4,1.96,0.45999999999999996,0.5299999999999999,1.29,0.32,1.04,1.46,1.5,gioia
kf4dgne,12,5.22,0.6200000000000001,0.94,1.81,0.6100000000000001,4.09,2.92,5.710000000000001,aspettativa
kf4cgb4,9,1.2,1.71,0.54,1.37,0.75,1.79,1.2400000000000002,3.2800000000000002,aspettativa
kf46yc4,1,0.04,0.12,0.04,0.04,0.04,0.08,0.29,0.17,sorpresa
kf41k1q,4,2.59,0.29,0.2,0.37,0.08,2.75,1.0,2.84,aspettativa
kf3ylq3,5,3.08,1.08,0.87,0.54,0.41000000000000003,1.5,1.07,1.6099999999999999,gioia
kf3onp6,14,4.620000000000001,3.2399999999999998,2.0300000000000002,2.36,1.6199999999999999,3.75,2.5700000000000003,6.53,aspettativa
kf3n9ec,1,0.0,0.67,0.83,0.46,0.46,0.04,0.08,0.08,rabbia
